Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_PERC,3P,3PA,3P_PERC,2P,2PA,2P_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB_PERC,DRB_PERC,TRB_PERC,AST_PERC,STL_PERC,BLK_PERC,USG_PERC,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,Darren Collison,PG,30,IND,63,58,1871,5.6,11.3,0.493,1.6,3.7,0.447,3.9,7.7,0.515,2.3,2.7,0.877,0.7,2.5,3.2,6.6,1.7,0.3,1.6,2.2,15.1,18.7,0.606,0.323,0.235,2.1,7.8,5,26.4,2.3,0.7,17.4,5.2,1.8,7,0.18,3,-0.9,2.1,1.9
2017,Nick Collison,PF,37,OKC,13,0,72,6.5,9.5,0.684,0,0,,6.5,9.5,0.684,2,4,0.5,3,6.5,9.5,2,0,0,3.5,3.5,15,13.8,0.666,0,0.421,9,20.7,14.7,8.6,0,0,17.7,0.1,0,0.1,0.08,-3.2,-2.8,-6,-0.1
2017,Mike Conley,PG,30,MEM,12,12,373,6.2,16.2,0.381,2.3,7.4,0.312,3.9,8.8,0.44,5.1,6.4,0.803,0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8,15.5,0.52,0.458,0.393,0,8.6,4.2,22.4,1.6,0.8,26,0.4,0.2,0.6,0.08,1.2,-3.4,-2.2,0
2017,Pat Connaughton,SG,25,POR,76,5,1388,4,9.7,0.414,1.8,5.2,0.348,2.2,4.5,0.491,0.9,1.1,0.837,0.8,3,3.8,2.2,0.5,0.5,1,2.9,10.8,9.2,0.529,0.537,0.115,2.5,9,5.8,8.8,0.8,1.2,13.7,1,1.1,2.2,0.075,-1,-0.5,-1.5,0.2
2017,Quinn Cook,PG,24,GSW,27,12,525,6.2,12.9,0.479,2.1,5.1,0.413,4,7.7,0.522,1,1.2,0.882,0.4,3.6,4,4.1,0.5,0.1,1.6,2.9,15.5,12.2,0.578,0.399,0.09,1.4,10.5,6.3,15.9,0.7,0.2,18.4,0.6,0.3,1,0.089,-0.2,-3,-3.1,-0.1
2017,Charles Cooke,SG,23,NOP,11,0,34,2.1,12.7,0.167,1.1,7.4,0.143,1.1,5.3,0.2,1.1,2.1,0.5,0,2.1,2.1,1.1,1.1,0,1.1,0,6.4,-3.4,0.233,0.583,0.167,0,6.2,3.2,3.6,1.4,0,17.7,-0.2,0,-0.1,-0.208,-9.9,-3.6,-13.4,-0.1
2017,Jack Cooley,PF,26,SAC,3,0,28,9,15.4,0.583,0,0,,9,15.4,0.583,3.9,3.9,1,7.7,6.4,14.1,5.1,1.3,0,0,6.4,21.9,33.5,0.638,0,0.25,23.4,21.3,22.4,25.6,1.8,0,21.4,0.2,0,0.2,0.38,10.1,-0.3,9.8,0.1
2017,Matt Costello,C,24,SAS,4,0,32,2.3,4.5,0.5,0,0,,2.3,4.5,0.5,0,0,,1.1,9,10.1,2.3,2.3,2.3,1.1,7.9,4.5,9.7,0.5,0,0,3.4,27.8,15.6,8.3,3.2,5.2,7,0,0.1,0.1,0.13,-5,6.7,1.7,0
2017,DeMarcus Cousins,C,27,NOP,48,48,1737,8.4,17.9,0.47,2.2,6.1,0.354,6.3,11.8,0.53,6.1,8.2,0.746,2.2,10.6,12.8,5.3,1.6,1.6,5,3.8,25.1,22.7,0.583,0.34,0.456,6.8,31.1,19.3,23.2,2.2,3.5,31.9,1.5,3.1,4.6,0.127,2,3.5,5.6,3.3
2017,Robert Covington,PF,27,PHI,73,73,2318,4.9,11.9,0.415,2.9,7.8,0.374,2,4,0.494,1.7,2,0.85,0.8,5.2,6,2.2,1.8,0.9,1.8,3.4,14.5,12.6,0.568,0.661,0.166,2.5,15.1,9,8.7,2.4,2.1,17.3,1.6,3.8,5.4,0.111,0.4,1.7,2.1,2.4
